Input,Output
"Mace, wind element, legendary",Legendary Fury
"Spear, void element",Dark-Reaver
"Dagger, toxic element, uncommon",The Cutter
"Staff, blood element, ancient",Ancient Claw
"Gauntlet, wind element, common",Storm-Kris of Ember
"Gauntlet, lightning element, rare",Volt-Slicer of Plague
"Sword, water element, mythic",Deep-Shard
"Wand, wind element, rare",The Kris
"Orb, lightning element, common",The Kris
"Spear, wind element, mythic",Gale-Cutter of Squall
"Orb, light element, legendary",Luminous-Fury
"Crossbow, shadow element, rare",DuskWhisper
"Staff, arcane element, legendary",MysticFury
"Mace, toxic element, common",The Fang of Umbral
"Crossbow, toxic element, mythic",Mythic Whisper
"Scythe, water element, legendary",Deep-Scythe
"Gauntlet, blood element, uncommon",Sanguine-Talon
"Gauntlet, void element",Null-Staff of Bolt
"Spear, ice element, epic",Epic Hammer of Spell
"Scythe, water element, mythic",The Wand
"Mace, void element, common",Dark-Kris
"Staff, lightning element, common",Volt of the Spire
"Spear, lightning element, ancient",The Scythe of Luminous
"Wand, fire element, mythic",The Slicer
"Spear, water element, legendary",Legendary Talon
"Staff, toxic element, mythic",Blight of the Fury
"Gauntlet, light element",Halo-Breaker of Gale
"Orb, light element, legendary",Luminous-Cutter of Volt
"Bow, void element, mythic",The Hammer of Flood
"Mace, arcane element, ancient",Ancient Fury of Storm
"Dagger, shadow element, common",Common Whisper
"Spear, earth element, common",Quake of the Edge
"Whip, shadow element, legendary",GloomShard
"Scythe, ice element, ancient",The Aegis
"Mace, ice element, mythic",Chill of the Shard of Mire
"Shield, water element, epic",Epic Talon
"Axe, fire element, common",Common Claw
"Mace, holy element, rare",Grace-Kris
"Bow, water element, legendary",AquaFury
"Shield, earth element, ancient",Stone-Breaker
"Shield, wind element, ancient",The Kris
"Mace, water element, common",Tide-Wand
"Spear, blood element, common",PulseHammer
"Scythe, lightning element, rare",SparkCutter of Deep
"Shield, blood element, rare",HemorrhageAegis
"Mace, void element, mythic",Abyss of the Scythe of Dusk
"Bow, shadow element, mythic",Gloom-Shard of Boulder
"Gauntlet, toxic element, ancient",Ancient Kris
"Hammer, ice element, legendary",Snow-Cutter
"Orb, storm element, mythic",Mythic Breaker
"Spear, poison element, ancient",Acid of the Glaive
"Shield, ice element, ancient",ChillSpire of Glacier
"Sword, water element, mythic",Deep-Staff
"Orb, arcane element, rare",MysticBreaker of Breeze
"Wand, light element, ancient",The Reaver
"Dagger, toxic element, legendary",Legendary Glaive
"Bow, light element, epic",SunTalon
"Sword, holy element, legendary",Blessed of the Breaker
"Dagger, light element, uncommon",The Kris of Ember
"Orb, ice element",Glacier-Shard of Shade
"Mace, lightning element",Thunder-Wand of Decay
"Sword, storm element, legendary",Legendary Kris
"Scythe, ice element, ancient",The Spire of Blessed
"Scythe, toxic element, epic",The Maul
"Scythe, blood element, mythic",CrimsonHammer
"Orb, light element, legendary",Luminous-Staff of Rune
"Whip, holy element, legendary",Grace-Maul
"Orb, holy element, rare",The Blade
"Spear, shadow element, epic",The Slicer
"Spear, wind element, ancient",The Glaive of Ember
"Wand, blood element",Crimson-Talon
"Whip, storm element, mythic",Mythic Lance
"Bow, ice element, rare",Frost of the Claw of Blood
"Scythe, water element, legendary",Deep-Maul
"Axe, light element, uncommon",RadiantCutter
"Orb, lightning element, legendary",Spark-Whisper of Void
"Staff, holy element, rare",GraceScythe
"Axe, arcane element, mythic",The Spire
"Scythe, shadow element, uncommon",The Kris of Aqua
"Dagger, holy element, epic",DivineBreaker
"Bow, blood element, common",Hemorrhage-Shard of Shade
"Scythe, storm element, rare",Rare Fury of Mana
"Bow, storm element, mythic",StormCutter
"Wand, earth element, common",The Aegis
"Shield, toxic element, mythic",Corrupt of the Wand
"Wand, ice element, rare",IceStaff
"Mace, arcane element, common",Arcana of the Reaver of Rune
"Dagger, ice element, ancient",ChillWand of Blessed
"Axe, lightning element, legendary",Legendary Wand
"Orb, fire element, ancient",The Cutter of Gale
"Shield, void element, mythic",The Kris
"Shield, poison element, common",Plague of the Shard
"Orb, toxic element, ancient",Ancient Fang of Squall
"Bow, blood element, common",Hemorrhage-Kris
"Wand, light element, ancient",The Slicer
"Gauntlet, fire element, legendary",Inferno-Talon of Shock
"Spear, blood element, epic",Epic Wand of Spark
"Whip, ice element",Ice-Scythe of Pyro
"Mace, lightning element, common",Volt of the Talon
"Scythe, ice element, common",Common Blade of Ember
"Mace, arcane element, common",Arcana of the Aegis
"Mace, light element, legendary",The Breaker of Blaze
"Sword, storm element, legendary",Legendary Talon
"Dagger, shadow element, common",Common Fang
"Hammer, toxic element, mythic",Mythic Blade
"Shield, void element, legendary",BlackholeEdge of Aqua
"Bow, holy element, epic",Grace-Warden of Decay
"Whip, wind element, mythic",The Kris
"Shield, shadow element, epic",The Claw of Blight
"Shield, fire element, legendary",Inferno-Fury of Mana
"Shield, holy element, rare",Rare Talon
"Scythe, light element, uncommon",HaloCutter of Gale
"Gauntlet, earth element, mythic",Quake of the Whisper
"Shield, lightning element, ancient",ShockScythe
"Sword, earth element, legendary",Legendary Edge
"Crossbow, wind element, ancient",Whirl of the Cutter of Flame
"Sword, void element, mythic",The Lance of Divine
"Orb, void element, rare",Abyss of the Slicer
"Axe, arcane element, epic",Epic Slicer
"Gauntlet, toxic element, ancient",Ancient Wand of Void
"Scythe, arcane element, rare",Spell-Shard
"Axe, void element, mythic",The Lance of Acid
"Orb, holy element, rare",The Shard of Decay
"Wand, blood element, rare",Rare Maul
"Shield, fire element, mythic",Mythic Kris of Aqua
"Mace, light element, legendary",The Fury of Storm
"Orb, storm element, legendary",Legendary Lance
"Crossbow, fire element, rare",Ember of the Wand of Bolt
"Staff, ice element, common",Chill of the Shard of Chill
"Mace, light element, legendary",The Kris
"Axe, void element, uncommon",Uncommon Kris
"Spear, earth element, rare",Root-Slicer
"Staff, light element, uncommon",SunLance
"Crossbow, ice element, common",GlacierSlicer
"Shield, holy element, rare",Rare Reaver of Blessed
"Dagger, holy element, common",SacredKris
"Spear, earth element, rare",Root-Fury of Storm
"Scythe, ice element, common",Common Blade
"Gauntlet, toxic element, legendary",DecayKris
"Sword, holy element, rare",Rare Spire
"Spear, blood element, rare",Rare Shard of Venom
"Bow, void element, epic",Epic Talon
"Bow, wind element, common",Common Fang of Stone
"Gauntlet, toxic element, ancient",Ancient Fang of Venom
"Spear, poison element, legendary",Legendary Slicer of Dark
"Shield, light element, ancient",The Kris of Inferno
"Bow, void element, common",The Aegis of Ember
"Dagger, storm element, rare",Cloud of the Spire
"Sword, fire element, ancient",BlazeHammer
"Shield, void element, mythic",The Claw of Blood
"Spear, earth element",Root-Edge of Fang
"Crossbow, toxic element, epic",Epic Wand of Decay
"Crossbow, toxic element, epic",Epic Staff
"Scythe, lightning element, uncommon",The Blade
"Staff, lightning element, common",Volt of the Hammer
"Staff, ice element, uncommon",The Slicer
"Scythe, arcane element, legendary",Legendary Breaker of Blight
"Mace, void element, epic",Blackhole of the Edge
"Dagger, poison element, legendary",The Spire
"Mace, shadow element, ancient",UmbralStaff
"Hammer, toxic element, mythic",Mythic Kris of Blight
"Bow, shadow element, mythic",Gloom-Staff of Shade
"Whip, ice element, epic",Epic Spire of Glacier
"Gauntlet, lightning element, rare",Volt-Breaker
"Axe, water element, rare",Wave of the Blade
"Staff, wind element, common",Gale of the Glaive
"Hammer, fire element",Blaze-Hammer
"Spear, wind element, mythic",Gale-Maul of Snow
"Mace, storm element, rare",The Slicer
"Mace, lightning element",Thunder-Kris of Rune
"Shield, water element, uncommon",Deep-Shard of Night
"Staff, lightning element, common",Volt of the Breaker
"Bow, holy element, uncommon",The Spire
"Scythe, void element, common",The Edge of Boulder
"Sword, toxic element, uncommon",Toxic of the Fury
"Wand, blood element, common",Pulse-Lance of Toxic
"Spear, poison element, ancient",Acid of the Shard of Mire
"Sword, blood element",Sanguine-Kris of Blight
"Gauntlet, holy element, legendary",Sacred-Wand of Blessed
"Axe, blood element, rare",Sanguine of the Scythe
"Whip, fire element, mythic",The Lance
"Spear, holy element, common",Faith of the Claw
"Staff, fire element, uncommon",Inferno of the Staff
"Sword, poison element, ancient",Toxic-Hammer
"Mace, poison element, epic",Plague of the Staff
"Scythe, water element, mythic",The Hammer of Flood
"Crossbow, water element, rare",Rare Shard
"Spear, holy element, ancient",The Talon
"Crossbow, water element, rare",Rare Fury
"Scythe, blood element, rare",Pulse-Spire of Mystic
"Dagger, ice element, uncommon",The Staff
"Spear, void element, legendary",Legendary Claw
"Dagger, ice element, uncommon",The Claw
"Scythe, poison element, legendary",Plague of the Maul
"Dagger, water element, rare",WaveScythe of Luminous
"Shield, storm element, epic",Storm-Scythe
"Bow, blood element, mythic",The Aegis
"Dagger, lightning element, mythic",VoltKris
"Crossbow, fire element, rare",Ember of the Edge of Aqua
"Hammer, blood element, legendary",Crimson of the Cutter of Spark
"Bow, light element, ancient",Sun-Spire of Dusk
"Mace, poison element, rare",Rare Breaker of Squall
"Mace, light element",Sun-Claw of Chill
"Shield, storm element, uncommon",Uncommon Wand
"Dagger, wind element, common",Breeze of the Talon
"Whip, shadow element, legendary",GloomKris of Cloud
"Gauntlet, poison element, rare",The Scythe
"Mace, fire element, mythic",Mythic Slicer of Deep
"Wand, shadow element, common",Gloom of the Aegis of Blackhole
"Mace, shadow element, rare",Night of the Claw of Chill
"Orb, light element, legendary",Luminous-Wand of Umbral
"Gauntlet, holy element, legendary",Sacred-Edge of Boulder
"Wand, blood element, common",Pulse-Aegis
"Spear, shadow element",Gloom-Spire of Shock
"Dagger, wind element, ancient",Breeze of the Cutter of Volt
"Shield, light element, rare",Sun of the Kris
"Crossbow, shadow element, ancient",DuskCutter
"Spear, shadow element, epic",The Spire
"Whip, shadow element, ancient",NightMaul
"Mace, storm element, rare",The Wand
"Orb, void element",Abyss-Breaker
"Sword, earth element, mythic",Mythic Whisper
"Shield, ice element, legendary",IceSpire
"Axe, arcane element, uncommon",Rune of the Breaker
"Axe, light element, mythic",Mythic Spire
"Bow, void element, mythic",The Claw
"Gauntlet, shadow element, ancient",Shade-Shard
"Hammer, ice element, legendary",Snow-Fury
"Mace, fire element, uncommon",Flame of the Cutter
"Bow, ice element, rare",Frost of the Edge
"Staff, toxic element, rare",Rare Scythe of Quake
"Whip, earth element, common",Common Kris
"Spear, toxic element, legendary",Legendary Fury
"Mace, light element, uncommon",The Fang of Stone
"Wand, storm element, uncommon",Storm of the Reaver of Decay
"Mace, shadow element, rare",Night of the Shard
"Staff, lightning element, rare",Rare Fang of Umbral
"Staff, poison element, common",Fang-Warden
"Orb, shadow element, ancient",Ancient Breaker of Toxic
"Mace, storm element, mythic",Storm-Kris
"Whip, earth element, ancient",Ancient Warden of Faith
"Whip, arcane element, mythic",The Breaker
"Spear, shadow element, mythic",Night-Slicer of Plague
"Orb, water element, common",WaveKris of Grace
"Sword, wind element, mythic",WhirlReaver
"Scythe, storm element, rare",Rare Slicer of Dark
"Scythe, holy element, uncommon",The Maul
"Crossbow, ice element, legendary",SnowCutter of Sanguine
"Shield, void element, mythic",The Lance
"Wand, fire element",Inferno-Maul
"Sword, storm element, epic",Tempest of the Talon
"Shield, void element, rare",Dark of the Talon
"Spear, void element, legendary",Legendary Edge of Mana
"Wand, poison element",Plague-Cutter
"Crossbow, fire element, uncommon",Pyro-Maul of Halo
"Dagger, shadow element, common",Common Scythe of Sanguine
"Scythe, lightning element, rare",SparkMaul of Whirl
"Spear, toxic element, rare",Decay-Blade
"Scythe, shadow element, uncommon",The Blade of Abyss
"Hammer, blood element, mythic",Sanguine of the Breaker of Spark
"Gauntlet, fire element, legendary",Inferno-Hammer
"Spear, storm element, epic",Rain-Fang
"Whip, wind element, ancient",Ancient Shard of Night
"Mace, arcane element, legendary",Mana of the Edge of Aqua
"Sword, blood element, rare",Sanguine of the Shard
"Bow, shadow element, ancient",Ancient Staff
"Wand, ice element, rare",IceCutter of Volt
"Crossbow, ice element, mythic",ChillBlade
"Hammer, holy element, epic",FaithBreaker of Squall
"Wand, light element, ancient",The Slicer of Pulse
"Sword, void element, ancient",The Shard
"Crossbow, wind element, ancient",Whirl of the Slicer of Deep
"Orb, wind element, rare",Zephyr-Fang
"Scythe, lightning element, rare",SparkScythe
"Staff, ice element, uncommon",The Breaker of Boulder
"Shield, light element, legendary",HaloSpire
"Sword, water element, mythic",Deep-Cutter of Deep
"Whip, water element, rare",Deep of the Spire
"Dagger, arcane element, common",Mana of the Fury of Shade
"Crossbow, void element, epic",Void of the Blade of Mire
"Bow, void element, common",The Reaver of Night
"Wand, shadow element, rare",Rare Whisper
"Spear, void element",Dark-Scythe
"Hammer, blood element, legendary",Crimson of the Talon
"Axe, poison element, epic",AcidWand
"Gauntlet, void element, mythic",DarkBlade of Abyss
"Spear, holy element, rare",The Whisper
"Spear, void element",Dark-Kris of Stone
"Scythe, void element",Null-Fang of Sanguine
"Sword, storm element, epic",Tempest of the Shard of Rain
"Orb, toxic element, common",The Blade
"Scythe, ice element, epic",IceWand of Umbral
"Dagger, toxic element, rare",Mire-Reaver of Whirl
"Hammer, ice element, epic",The Fury of Shade
"Wand, earth element, ancient",Ancient Whisper
"Scythe, lightning element",Shock-Whisper of Void
"Bow, water element, ancient",FloodReaver
"Staff, fire element, uncommon",Inferno of the Whisper
"Mace, ice element, epic",Glacier of the Kris
"Spear, holy element, ancient",The Spire of Shock
"Orb, holy element, common",DivineStaff of Bolt
"Hammer, ice element, legendary",Snow-Hammer
"Mace, arcane element, common",Arcana of the Kris
"Whip, earth element, common",Common Breaker of Toxic
"Axe, toxic element, uncommon",Decay of the Edge
"Scythe, water element, common",Deep-Scythe
"Sword, storm element, uncommon",Rain of the Kris
"Staff, wind element, legendary",The Aegis
"Wand, light element, common",Luminous of the Shard
"Shield, poison element, legendary",The Glaive
"Dagger, poison element, uncommon",Venom of the Maul
"Wand, earth element, ancient",Ancient Staff of Mystic
"Spear, earth element, common",Quake of the Slicer
"Hammer, wind element, uncommon",WhirlClaw of Blood
"Spear, holy element, common",Faith of the Edge
"Sword, storm element, legendary",Legendary Blade
"Axe, storm element, legendary",Storm-Whisper
"Shield, poison element, common",Plague of the Blade of Abyss
"Spear, storm element, common",Common Cutter of Thunder
"Sword, lightning element, legendary",Bolt-Whisper of Whirl
"Mace, fire element, mythic",Mythic Staff
